"","yearID","teamID","W","yearID","teamID","teamSalary"
"1",2000,"ANA",82,2000,"ANA",51.464167
"2",2000,"ARI",85,2000,"ARI",81.027833
"3",2000,"ATL",95,2000,"ATL",84.537836
"4",2000,"BAL",74,2000,"BAL",81.447435
"5",2000,"BOS",85,2000,"BOS",77.940333
"6",2000,"CHA",95,2000,"CHA",31.1335
"7",2000,"CHN",65,2000,"CHN",60.539333
"8",2000,"CIN",85,2000,"CIN",46.8672
"9",2000,"CLE",90,2000,"CLE",75.880771
"10",2000,"COL",82,2000,"COL",61.11119
"11",2000,"DET",79,2000,"DET",58.265167
"12",2000,"FLO",79,2000,"FLO",19.872
"13",2000,"HOU",72,2000,"HOU",51.289111
"14",2000,"KCA",77,2000,"KCA",23.433
"15",2000,"LAN",86,2000,"LAN",87.924286
"16",2000,"MIL",73,2000,"MIL",36.505333
"17",2000,"MIN",69,2000,"MIN",16.5195
"18",2000,"MON",67,2000,"MON",32.994333
"19",2000,"NYA",87,2000,"NYA",92.33826
"20",2000,"NYN",94,2000,"NYN",79.509776
"21",2000,"OAK",91,2000,"OAK",31.971333
"22",2000,"PHI",65,2000,"PHI",47.308
"23",2000,"PIT",69,2000,"PIT",28.928334
"24",2000,"SDN",76,2000,"SDN",54.821
"25",2000,"SEA",91,2000,"SEA",58.915
"26",2000,"SFN",97,2000,"SFN",53.737826
"27",2000,"SLN",95,2000,"SLN",61.453863
"28",2000,"TBA",69,2000,"TBA",62.765129
"29",2000,"TEX",71,2000,"TEX",70.795921
"30",2000,"TOR",83,2000,"TOR",44.838332
"31",2001,"ANA",75,2001,"ANA",47.535167
"32",2001,"ARI",92,2001,"ARI",85.082999
"33",2001,"ATL",88,2001,"ATL",91.936166
"34",2001,"BAL",63,2001,"BAL",67.59954
"35",2001,"BOS",82,2001,"BOS",110.035833
"36",2001,"CHA",83,2001,"CHA",65.653667
"37",2001,"CHN",88,2001,"CHN",64.715833
"38",2001,"CIN",66,2001,"CIN",48.986
"39",2001,"CLE",91,2001,"CLE",93.152001
"40",2001,"COL",73,2001,"COL",71.541334
"41",2001,"DET",66,2001,"DET",53.416167
"42",2001,"FLO",76,2001,"FLO",35.7625
"43",2001,"HOU",93,2001,"HOU",60.612667
"44",2001,"KCA",65,2001,"KCA",35.4225
"45",2001,"LAN",86,2001,"LAN",109.105953
"46",2001,"MIL",68,2001,"MIL",43.886833
"47",2001,"MIN",85,2001,"MIN",24.13
"48",2001,"MON",68,2001,"MON",35.1595
"49",2001,"NYA",95,2001,"NYA",112.287143
"50",2001,"NYN",82,2001,"NYN",93.174428
