"","BRK.A.Open","BRK.A.High","BRK.A.Low","BRK.A.Close","BRK.A.Volume","Return"
"1",204600,204800,203455,203532,325,0
"2",204600,204999,204233,204579,330,0
"3",204880,205097.99,204358.14,204577,245,0
"4",204577,205445,204000,204741,387,0
"5",204300.36,204640,203895,204040,218,0
"6",204050,205880,204050,205880,407,0
"7",206999.9,207200,205630,206740,387,0
"8",207740,207740,206249,206438,335,0
"9",207250,208474.99,206250,206820,178,0
"10",206562,207490,206110,206700,173,0
"11",207425,208341,207126,207200,221,0
"12",207499,207500,205192,205305,340,0
"13",206250,206905.01,205600,206750,193,0
"14",206005,206930,205551,206850,141,0
"15",207099.9,207099.9,205202,205635,212,0
"16",205851,207156,205602,207110,292,0
"17",206900,208415.01,206525,207745,179,0
"18",208612,210217,208105,209000.1,285,0
"19",210449,212250,209734,212075.05,361,0
"20",213200,213612,210845,212000,682,0
"21",211079,211079,208802,208900,328,0
"22",208860,209600,208183,208445,270,0
"23",208250,210021,208250,209850,327,0
"24",209900,209900,205494.13,206000,293,0
"25",205580,208420,205580,208133,314,0
"26",207100,208016,206500,207321,312,0
"27",207451,208011.91,206707,206900,274,0
"28",207310,207310,204400,204855,355,0
"29",205000,207500,205000,206250,864,0
"30",207450,209420,207200,208750,565,0
"31",210275.11,210359.01,207997,208585,325,0
"32",208000,208000,205035,205035,301,0
"33",205000,210175,205000,209950,639,0
"34",210000,210328,205750,205850,481,0
"35",206600,209191,205150,205150,538,0
"36",204920,208000,204706.11,204913.11,595,0
"37",205050.06,208387.92,205000,206025,814,0
"38",204614,205146,198000,203800,1041,0
"39",199400,203345.05,199195,202000.1,415,0
"40",203995,206437,203569,205505,752,0
"41",205303,206207.22,204700,205850,306,0
"42",206890,208400,206270.01,208330,401,0
"43",208805,209000,206385,206525,236,0
"44",209000,209124.21,207646,208109,209,0
"45",207579,209251,207535,209251,303,0
"46",208447,209410,208000,209222,201,0
"47",209500,210580,209279,210570,466,0
"48",210725,210900,208400,209600.2,277,0
"49",209250,209813,204700,209030.61,275,0
"50",211028,212300,209095,210000,527,0
"51",210835,211310,209000,211100,214,0
"52",211900,213250,211600,213000,238,0
"53",214799,214799,212795,214155,188,0
"54",214821,214935,213400,214800,233,0
"55",215226,215925,214326,214970,169,0
"56",215899,217500,215814,217500,384,0
"57",218400,218400,217214,217352.71,121,0
"58",217875,218544,217045,218101,373,0
"59",218656,219366,218370,219300,435,0
"60",219331,219817,217646.01,218023,342,0
"61",218545,218545,217098,218540,197,0
"62",218540,219610,218275,218868,183,0
"63",218799.9,218799.9,217576,218544.9,199,0
"64",217800,218609,217300,218250,123,0
"65",220300,220369,219400,219935,229,0
"66",220575,221130,219455,221052.83,156,0
"67",221315,222000,221100,221725,285,0
"68",222299,222451,221965.81,222411,133,0
"69",222705,224070.71,222669,223065,214,0
"70",223100,224671,222360.71,222525,245,0
"71",223800,225000,223020,225000,211,0
"72",225900,225900,224350,224485,246,0
"73",224949.99,225214.7,223914.93,225214.7,271,0
"74",225649.9,225981,225020.56,225640,265,0
"75",226285.31,229374,226150.31,227800,950,0
"76",226300,226488.95,223391,225334,1014,0
"77",225400,226816,223303.72,223650,1299,0
"78",224180,226836,224180,224800,438,0
"79",224000,224750,219000,219000,430,0
"80",222121,222519,217178,219073,477,0
"81",218214.56,222980,215500,218460,663,0
"82",219000,222800,218427,222800,553,0
"83",226700,229300,225299,229300,684,0
"84",228152,228495,226294,227886,420,0
"85",227651.01,228679.64,226794.94,227720,237,0
"86",227840,229000,227530.31,227630,353,0
"87",227900,228520,226515,226515,257,0
"88",227301,228070,226500,226500,233,0
"89",226500,228350,226500,228165,230,0
"90",227351,228285,226550,228255,186,0
"91",228180,228870,225403,226000,183,0
"92",227230.01,227469.66,222735,223600,325,0
"93",223595,223595,220000,220980,473,0
"94",221110,222870,219265.51,220450,434,0
"95",222499.9,223536,220000,223480,373,0
"96",226124.43,226949,224000,226680,601,0
"97",227500,227500,223968,224675,218,0
"98",225495,225495,222083.44,222424.44,235,0
"99",224849,226420,221801.86,223000,570,0
"100",221005,222577,219779.05,221878,768,0
"101",222505,223000,220839,221510,235,0
"102",220990,223779,220104.85,223615,228,0
"103",224000,225440.87,222208,222636,379,0
"104",222039,222500,220000,220895,256,0
"105",222495,225214,221020,224915,419,0
"106",224800,224800,223680.05,223751,146,0
"107",223900,224516.67,222431.53,224184,148,0
"108",221961,223153.99,221450,221511,327,0
"109",222700,223100,217160,217160,438,0
"110",218000,220380,216340,219998,264,0
"111",219900,219900,215865,215865,325,0
"112",216001.1,220099.99,215151.21,220099.99,236,0
"113",221800,222695,218925,222183,262,0
"114",222000,222754,220815,221026.88,206,0
"115",222194.99,224863,221800,224560,437,0
"116",225000,227450,224376.42,224880,346,0
"117",224545,224545,223208.77,223999.88,167,0
"118",225250,225820,223388.86,225140,172,0
"119",225099,225340,223339,224392.85,129,0
"120",225000,225539.74,224020.05,224460,340,0
"121",223890,224186,222030,222555,368,0
"122",222950,224000,222486,223300,192,0
"123",223460,223600,222380.05,222800,157,0
"124",222251,222560,220730,221495,236,0
"125",220721,223100,219940,223100,162,0
"126",222800,222800,220294.42,221000,344,0
"127",221200,224010,220960,223405,261,0
"128",223970,223970,222680,222855,201,0
"129",222945.7,223420,222000,222250,117,0
"130",222250,222250,220860,221180,187,0
"131",221899.99,221899.99,219000,220365,510,0
"132",220580,220580,217936,219000,510,0
"133",218500.01,218500.01,216500,217612,302,0
"134",217735,219822.22,217500,219500,297,0
"135",219475,221353,218645,218810.99,390,0
"136",218900,220845,218899,220499.9,389,0
"137",219650,219650,216900,217400,817,0
"138",217745.24,218865,216784.74,217500,367,0
"139",218999,219898,217721.06,219898,262,0
"140",219500,219500,216435,217118,228,0
