Year,Month,mid,t,daysAvaliable,ownersDays,rentalDays,Revenue
2011,Aug,8,1.63,3,0,3,94.47
2011,Sep,9,1.71,30,0,30,-0.56
2011,Oct,10,1.79,31,0,31,"2,047.24"
2011,Nov,11,1.88,30,0,30,"1,045.00"
2011,Dec,12,1.96,31,0,31,"2,056.68"
2012,Jan,1,2.04,31,0,31,1909.76
2012,Feb,2,2.13,29,0,29,"1,930.80"
2012,Mar,3,2.21,31,0,31,"2,062.36"
2012,Apr,4,2.29,30,0,30,"1,366.96"
2012,May,5,2.38,31,10,21,885.32
2012,Jun,6,2.46,30,2,28,1128.03
2012,Jul,7,2.54,31,0,31,"1,786.13"
2012,Aug,8,2.63,31,0,31,"1,407.04"
2012,Sep,9,2.71,30,10,20,447.24
2012,Oct,10,2.79,31,0,31,"1,639.32"
2012,Nov,11,2.88,30,8,22,705.19
2012,Dec,12,2.96,31,10,21,"1,226.11"
2013,Jan,1,3.04,31,0,31,"2,140.81"
2013,Feb,2,3.13,28,0,28,"1,633.68"
2013,Mar,3,3.21,31,0,31,"2,254.81"
2013,Apr,4,3.29,30,7,23,"1,302.32"
2013,May,5,3.38,31,14,17,496.85
2013,Jun,6,3.46,30,5,25,"1,075.00"
2013,Jul,7,3.54,31,0,31,"1,363.32"
2013,Aug,8,3.63,31,6,25,918.96
2013,Sep,9,3.71,30,0,30,812.98
2013,Oct,10,3.79,31,0,31,"1,652.29"
2013,Nov,11,3.88,30,0,30,"1,293.84"
2013,Dec,12,3.96,31,0,31,"1,978.02"
2014,Jan,1,4.04,31,0,31,"2,459.17"
2014,Feb,2,4.13,28,0,28,"2,053.97"
2014,Mar,3,4.21,31,0,31,"2,216.23"
2014,Apr,4,4.29,30,0,30,"1,185.03"
2014,May,5,4.38,31,12,19,416.69
2014,Jun,6,4.46,30,8,22,"1,558.86"
2014,Jul,7,4.54,31,0,31,937.31
2014,Aug,8,4.63,31,0,31,"1,174.77"
2014,Sep,9,4.71,30,0,30,"2,212.56"
2014,Oct,10,4.79,31,0,31,"1,846.60"
2014,Nov,11,4.88,30,0,30,"1,236.59"
2014,Dec,12,4.96,31,0,31,"2,137.56"
2015,Jan,1,5.04,31,0,31,"2,580.01"
2015,Feb,2,5.13,28,0,28,"2,396.41"
2015,Mar,3,5.21,31,0,31,"2,191.18"
2015,Apr,4,5.29,30,0,30,"1,239.11"
2015,May,5,5.38,31,11,20,351.55
2015,Jun,6,5.46,30,15,15,681.49
2015,Jul,7,5.54,31,0,31,"1,363.42"
2015,Aug,8,5.63,31,NA,NA,NA
2015,Sep,9,5.71,30,NA,NA,NA
2015,Oct,10,5.79,31,NA,NA,NA
2015,Nov,11,5.88,30,NA,NA,NA
2015,Dec,12,5.96,31,NA,NA,NA
